contig ID,Seq Coverage
tig00000631,530.431266846361
tig00000105,179.243207214189
tig00000498,166.135377317052
tig00003955,159.328832116788
tig00000392,147.940674169265
tig00003957,139.902591105067
tig00000572,134.926220273439
tig00000238,128.024544226526
tig00000034,122.732796678018
tig00000415,120.973500612203
tig00000269,118.350609112238
tig00000241,118.32368897435
tig00003936,118.024717090091
tig00000053,116.718317611904
tig00000564,116.252698504511
tig00000482,116.219905744114
tig00000192,115.996785295304
tig00003937,115.834283170352
tig00000272,115.177932080684
tig00000096,115.15728991933
tig00000438,115.072876564329
tig00003964,114.968148465006
tig00000410,114.839900608345
tig00003920,114.640727855164
tig00000351,114.174283469126
tig00000082,114.074138192753
tig00000168,113.825841260826
tig00003921,113.796338978522
tig00000473,113.076340560881
tig00000311,112.902975110087
tig00000040,112.039203092477
tig00003976,111.904943529237
tig00000489,111.899318691823
tig00000152,111.783176356699
tig00003922,111.513728346891
tig00003974,111.465649849638
tig00000128,111.442449434002
tig00000530,111.196817681319
tig00000210,111.045944152946
tig00003944,110.811970449771
tig00000190,109.998221653338
tig00003940,109.958128678419
tig00003977,109.560296729798
tig00003933,109.401108341037
tig00000334,109.01904702643
tig00000158,108.718165665454
tig00000228,108.609645574587
tig00003984,107.747245284404
tig00000454,107.58620779443
tig00000300,107.338929508494
tig00000089,107.184898397161
tig00003970,106.957585531393
tig00003931,106.840775693405
tig00000145,105.956184253209
tig00000061,105.934429703146
tig00003981,105.526437956809
tig00003947,105.198012133729
tig00003934,104.156784565916
tig00000331,103.746255356849
tig00000369,103.444765486836
tig00000313,102.577500776706
tig00003971,101.455591285528
tig00000271,101.32133426773
tig00000423,100.281084407644
tig00000435,100.153319088068
tig00000412,100.025149232181
tig00003926,99.4223167623429
tig00000615,97.8551209549763
tig00003966,97.7926139265872
tig00000416,96.5702987324225
tig00000588,96.5148704406668
tig00000330,41.1418024522718
tig00001063,10.891126266091
tig00000845,10.8412067854842
tig00000917,10.1707651835754
